Тема,Schreiben_Wahrscheinlichkeit,Sprechen_Wahrscheinlichkeit,Ключевые_слова,Beispiel_Fragen
Reisen und Urlaub,Очень высокая,Очень высокая,"verreisen, Urlaubsziel, Hotel buchen, entspannen",Beschreiben Sie Ihren letzten Urlaub. Wo würden Sie gerne hinreisen?
Familie und Freunde,Очень высокая,Очень высокая,"Verwandte, Freundschaft, Beziehung, Kontakt halten",Wie wichtig ist Familie für Sie? Wie halten Sie Kontakt zu Freunden?
Arbeit und Beruf,Высокая,Высокая,"Arbeitsplatz, Kollegen, Berufserfahrung, Karriere",Beschreiben Sie Ihren Arbeitsplatz. Was sind Ihre Berufsziele?
Wohnen und Leben,Высокая,Высокая,"Wohnung mieten, Nachbarn, Möbel, Umzug",Wie sieht Ihre Traumwohnung aus? Leben Sie lieber in der Stadt oder auf dem Land?
Gesundheit und Sport,Высокая,Очень высокая,"gesund leben, Sport treiben, Fitness, Krankheit",Wie bleiben Sie gesund? Welchen Sport treiben Sie gerne?
Essen und Trinken,Средняя,Высокая,"kochen, Restaurant, Diät, Lieblingsessen",Was ist Ihr Lieblingsessen? Kochen Sie gerne?
Hobbys und Freizeit,Высокая,Очень высокая,"sich entspannen, Interessen, Aktivitäten, Spaß haben",Was machen Sie in Ihrer Freizeit? Welche Hobbys haben Sie?
Medien und Technologie,Высокая,Очень высокая,"Computer, Handy, Internet, soziale Netzwerke",Wie nutzen Sie das Internet? Sind soziale Medien wichtig für Sie?
Umwelt und Natur,Средняя,Высокая,"Umweltschutz, Recycling, Natur, Verschmutzung",Was können wir für die Umwelt tun? Wie wichtig ist Umweltschutz?
Bildung und Lernen,Высокая,Высокая,"Schule, Universität, lernen, Prüfung",Wie haben Sie Deutsch gelernt? Was sind Ihre Lernmethoden?
Verkehr und Transport,Средняя,Средняя,"öffentliche Verkehrsmittel, Stau, Führerschein",Fahren Sie gerne Auto? Wie kommen Sie zur Arbeit?
Einkaufen und Geld,Высокая,Высокая,"einkaufen gehen, Geld sparen, Preise vergleichen",Kaufen Sie lieber online oder im Geschäft? Sparen Sie Geld?
Kultur und Feste,Средняя,Высокая,"Traditionen, Feiertage, Museum, Theater",Welche Feste feiern Sie? Gehen Sie gerne ins Theater?
Mode und Aussehen,Средняя,Высокая,"Kleidung, Stil, schön aussehen, Mode",Ist Mode wichtig für Sie? Wie kleiden Sie sich gerne?
Zukunftspläne,Высокая,Очень высокая,"Pläne machen, Ziele, Träume, Hoffnungen",Was sind Ihre Pläne für die Zukunft? Was möchten Sie erreichen?
Probleme und Lösungen,Очень высокая,Высокая,"Problem lösen, Schwierigkeiten, Hilfe suchen",Welche Probleme gibt es in Ihrer Stadt? Wie kann man sie lösen?
Stadt vs Land,Высокая,Очень высокая,"Großstadt, Dorf, Lebensqualität, Vorteile",Wo leben Sie lieber - in der Stadt oder auf dem Land? Warum?
Internet und soziale Medien,Очень высокая,Очень высокая,"online sein, chatten, posten, digitale Welt",Nutzen Sie Facebook oder Instagram? Welche Vor- und Nachteile haben sie?
Generationen,Высокая,Высокая,"jung vs alt, Erfahrung, Unterschiede, Respekt",Verstehen Sie sich gut mit älteren Menschen? Was können sie lernen?
Klimawandel,Высокая,Высокая,"Umwelt schützen, CO2, erneuerbare Energie",Was denken Sie über den Klimawandel? Was können wir tun?
